GateV	GateI
0	6.53715092040902E-14
0.0500000007450581	3.49495606066785E-13
0.100000001490116	3.55499999013173E-13
0.150000005960464	3.62442497889304E-13
0.200000002980232	3.66973216137795E-13
0.25	3.69985780294263E-13
0.300000011920929	3.71133028823079E-13
0.349999994039536	3.69169132112893E-13
0.400000005960464	3.67191574455333E-13
0.449999988079071	3.70470852346233E-13
0.5	3.67852666730006E-13
0.550000011920929	3.73278529397156E-13
0.600000023841858	3.69402940311389E-13
0.649999976158142	3.69206238932246E-13
0.699999988079071	3.70015731379278E-13
0.75	3.71766799203005E-13
0.800000011920929	3.71583541930801E-13
0.850000023841858	3.73887200496789E-13
0.899999976158142	3.70947765776855E-13
0.949999988079071	3.69846541630262E-13
1	3.69993152869036E-13
1.04999995231628	3.74318387700787E-13
1.10000002384186	3.79160651443541E-13
1.14999997615814	3.7946531225401E-13
1.20000004768372	3.81424302949365E-13
1.25	3.88368536548972E-13
1.29999995231628	3.85637106015829E-13
1.35000002384186	3.90801567539192E-13
1.39999997615814	3.93825298978037E-13
1.45000004768372	4.01486813629906E-13
1.5	4.03676387022295E-13
1.54999995231628	4.10463329991728E-13
1.60000002384186	4.16715788395181E-13
1.64999997615814	4.25602858077773E-13
1.70000004768372	4.29420903133235E-13
1.75	4.41850955780129E-13
1.79999995231628	4.47936853624833E-13
1.85000002384186	4.62019094857324E-13
1.89999997615814	4.72197964323379E-13
1.95000004768372	4.77018435602466E-13
2	4.91758760448602E-13
2.04999995231628	5.01157871712204E-13
2.09999990463257	5.18233242777222E-13
2.15000009536743	5.40586997908876E-13
2.20000004768372	5.6284382536631E-13
2.25	5.73533354055605E-13
2.29999995231628	5.66131451613938E-13
2.34999990463257	5.96064755713221E-13
2.40000009536743	6.09825124425756E-13
2.45000004768372	6.23730830439512E-13
2.5	6.41508547671865E-13
2.54999995231628	6.20431169547769E-13
2.59999990463257	6.23456906760633E-13
2.65000009536743	6.447151298071E-13
2.70000004768372	6.38586731237234E-13
2.75	6.91921075556684E-13
2.79999995231628	7.39066956505913E-13
2.84999990463257	7.71242987009091E-13
2.90000009536743	7.81531848785544E-13
2.95000004768372	8.2439767902856E-13
3	9.8637883885061E-13
3.04999995231628	1.03712904150205E-12
3.09999990463257	1.05130325018382E-12
3.15000009536743	1.12193782909886E-12
3.20000004768372	1.18337999989448E-12
3.25	1.28694494297421E-12
3.29999995231628	1.52837215539742E-12
3.34999990463257	1.65824417999033E-12
3.40000009536743	1.85551639157733E-12
3.45000004768372	2.57625648245052E-12
3.5	3.10113198141726E-12
3.54999995231628	3.84086989643762E-12
3.59999990463257	3.94674267226169E-12
3.65000009536743	4.19261890829969E-12
3.70000004768372	4.46153400682214E-12
3.75	4.83962826411388E-12
3.79999995231628	5.08166252133346E-12
3.84999990463257	5.08375719993071E-12
3.90000009536743	5.62339758092278E-12
3.95000004768372	6.1110712844259E-12
4	6.66249434094768E-12
4.05000019073486	7.0594112153155E-12
4.09999990463257	5.09270013313023E-12
4.15000009536743	6.77909854987502E-12
4.19999980926514	9.09252881320377E-12
4.25	1.15716290716161E-11
4.30000019073486	1.26238290654168E-11
4.34999990463257	1.42800554367439E-11
4.40000009536743	1.57987962989825E-11
4.44999980926514	1.84848022305451E-11
4.5	1.8992951308916E-11
4.55000019073486	1.95677501979574E-11
4.59999990463257	1.09224140842912E-9
4.65000009536743	9.99941374146829E-9
4.69999980926514	9.99940041879199E-9
4.75	9.99943061685826E-9
4.80000019073486	9.99942439960932E-9
4.84999990463257	9.99936133894153E-9
4.90000009536743	9.99942084689565E-9
4.94999980926514	9.99943772228562E-9
5	9.99941285328987E-9
5.05000019073486	9.99941018875461E-9
5.09999990463257	9.99940663604093E-9
5.15000009536743	9.99941196511145E-9
5.19999980926514	9.99940752421935E-9
5.25	9.99940485968409E-9
5.30000019073486	9.99940752421935E-9
5.34999990463257	9.99940841239777E-9
5.40000009536743	9.99941018875461E-9
5.44999980926514	9.99941018875461E-9
5.5	9.99941107693303E-9
5.55000019073486	9.99940574786251E-9
5.59999990463257	9.99940308332725E-9
5.65000009536743	9.99940841239777E-9
5.69999980926514	9.99940752421935E-9
5.75	9.99940397150567E-9
5.80000019073486	9.99940663604093E-9
5.84999990463257	9.99940663604093E-9
5.90000009536743	9.99940219514883E-9
5.94999980926514	9.99941462964671E-9
6	9.99940219514883E-9
6	9.99939953061357E-9
5.94999980926514	9.99939953061357E-9
5.90000009536743	9.99941374146829E-9
5.84999990463257	9.99940219514883E-9
5.80000019073486	9.99940130697041E-9
5.75	9.99940397150567E-9
5.69999980926514	9.99938798429412E-9
5.65000009536743	9.99940752421935E-9
5.59999990463257	9.99940308332725E-9
5.55000019073486	9.99940397150567E-9
5.5	9.99940308332725E-9
5.44999980926514	9.99940130697041E-9
5.40000009536743	9.99940397150567E-9
5.34999990463257	9.99940574786251E-9
5.30000019073486	9.99940485968409E-9
5.25	9.99940574786251E-9
5.19999980926514	9.99940930057619E-9
5.15000009536743	9.99940219514883E-9
5.09999990463257	9.99940574786251E-9
5.05000019073486	9.99940841239777E-9
5	9.99941196511145E-9
4.94999980926514	9.99941018875461E-9
4.90000009536743	9.99940930057619E-9
4.84999990463257	9.99940841239777E-9
4.80000019073486	9.99940930057619E-9
4.75	9.99940752421935E-9
4.69999980926514	9.99941107693303E-9
4.65000009536743	9.99941018875461E-9
4.59999990463257	9.99940930057619E-9
4.55000019073486	9.99941018875461E-9
4.5	9.99941018875461E-9
4.44999980926514	9.99941285328987E-9
4.40000009536743	9.99941196511145E-9
4.34999990463257	9.99941107693303E-9
4.30000019073486	9.99941196511145E-9
4.25	9.99941196511145E-9
4.19999980926514	9.99940841239777E-9
4.15000009536743	9.99941107693303E-9
4.09999990463257	9.99941107693303E-9
4.05000019073486	9.99941107693303E-9
4	9.99940930057619E-9
3.95000004768372	9.99940930057619E-9
3.90000009536743	9.99941285328987E-9
3.84999990463257	9.99941285328987E-9
3.79999995231628	9.99941196511145E-9
3.75	9.99941196511145E-9
3.70000004768372	9.99941018875461E-9
3.65000009536743	9.99941374146829E-9
3.59999990463257	9.99941285328987E-9
3.54999995231628	9.99941285328987E-9
3.5	9.74264935393876E-9
3.45000004768372	9.19103371188612E-9
3.40000009536743	8.85763817848328E-9
3.34999990463257	8.39668778951363E-9
3.29999995231628	7.92714516251181E-9
3.25	8.57409787613506E-9
3.20000004768372	8.26445134549658E-9
3.15000009536743	7.83619746869135E-9
3.09999990463257	7.42152383992334E-9
3.04999995231628	7.23997839457979E-9
3	6.88697410211603E-9
2.95000004768372	6.49783693518202E-9
2.90000009536743	6.01696381608008E-9
2.84999990463257	5.23091125970154E-9
2.79999995231628	4.83117634786367E-9
2.75	4.36733671449474E-9
2.70000004768372	3.89327281524743E-9
2.65000009536743	3.56061624628978E-9
2.59999990463257	3.28237614866111E-9
2.54999995231628	3.06728042964721E-9
2.5	2.90557311544148E-9
2.45000004768372	2.76583111968876E-9
2.40000009536743	2.68655431234777E-9
2.34999990463257	2.59989874074051E-9
2.29999995231628	2.56077403726351E-9
2.25	2.47002240882921E-9
2.20000004768372	2.34931030185237E-9
2.15000009536743	2.25883112214831E-9
2.09999990463257	2.13335793475267E-9
2.04999995231628	2.04617500720872E-9
2	1.94038363154903E-9
1.95000004768372	1.85255399909323E-9
1.89999997615814	1.79025672064626E-9
1.85000002384186	1.58595692134611E-9
1.79999995231628	7.71975261493196E-10
1.75	3.92814863969804E-10
1.70000004768372	2.76091541122347E-13
1.64999997615814	2.76356682763629E-13
1.60000002384186	2.9023796712345E-13
1.54999995231628	2.96669237570199E-13
1.5	2.99109776660464E-13
1.45000004768372	3.09151928232568E-13
1.39999997615814	3.06325467379007E-13
1.35000002384186	3.04868679129947E-13
1.29999995231628	3.03464854157012E-13
1.25	3.03116879469753E-13
1.20000004768372	3.01339221587746E-13
1.14999997615814	3.01417799140197E-13
1.10000002384186	3.00127788290319E-13
1.04999995231628	2.9321220473312E-13
1	3.02002265426329E-13
0.949999988079071	2.99395057357099E-13
0.899999976158142	2.97571700353522E-13
0.850000023841858	2.94927575200318E-13
0.800000011920929	2.95535975249409E-13
0.75	2.96158171771144E-13
0.699999988079071	2.94042161496158E-13
0.649999976158142	2.95700638454355E-13
0.600000023841858	2.95402509961976E-13
0.550000011920929	2.92627115030739E-13
0.5	2.91032226529958E-13
