GateV	--
-8.30000019073486	1.58423148377551E-7
-8.19999980926514	1.55846393568027E-7
-8.10000038146973	1.5243669793108E-7
-8	1.48978898550922E-7
-7.90000009536743	1.46531391465032E-7
-7.80000019073486	1.43179477163358E-7
-7.69999980926514	1.3878958782243E-7
-7.59999990463257	1.35571127657386E-7
-7.5	1.32431679844558E-7
-7.40000009536743	1.30181561530662E-7
-7.30000019073486	1.27291130525009E-7
-7.19999980926514	1.23923896921951E-7
-7.09999990463257	1.20959725791181E-7
-7	1.19452323588121E-7
-6.90000009536743	1.15969100988877E-7
-6.80000019073486	1.13862853368119E-7
-6.69999980926514	1.10043401946314E-7
-6.59999990463257	1.0691373120153E-7
-6.5	1.0374957781778E-7
-6.40000009536743	1.00411305936632E-7
-6.30000019073486	9.78093694925519E-8
-6.19999980926514	9.49979792608247E-8
-6.09999990463257	9.24526730727848E-8
-6	8.91868481289748E-8
-5.90000009536743	8.67068479237787E-8
-5.80000019073486	8.34291924434183E-8
-5.69999980926514	8.07407616321143E-8
-5.59999990463257	7.7584154212218E-8
-5.5	7.53422710886298E-8
-5.40000009536743	7.24871043189523E-8
-5.30000019073486	6.98806772447824E-8
-5.19999980926514	6.77958169603698E-8
-5.09999990463257	6.51374207905064E-8
-5	6.22894589241696E-8
-4.90000009536743	6.00448828436129E-8
-4.80000019073486	5.75843976946544E-8
-4.69999980926514	5.50582264224886E-8
-4.59999990463257	5.27469765643218E-8
-4.5	5.05950197293714E-8
-4.40000009536743	4.84030131531199E-8
-4.30000019073486	4.59195099722365E-8
-4.19999980926514	4.38890559451011E-8
-4.09999990463257	4.16839682770842E-8
-4	3.98257320455286E-8
-3.90000009536743	3.75240780670083E-8
-3.79999995231628	3.56852254412843E-8
-3.70000004768372	3.37531496086285E-8
-3.59999990463257	3.1791184795793E-8
-3.5	3.00329894287188E-8
-3.40000009536743	2.82021073161332E-8
-3.29999995231628	2.49263170104541E-8
-3.20000004768372	2.34875727755934E-8
-3.09999990463257	2.16530544605575E-8
-3	1.99621297269914E-8
-2.90000009536743	1.79755712537144E-8
-2.79999995231628	1.60500253088003E-8
-2.70000004768372	1.4297825146059E-8
-2.59999990463257	1.37068543182295E-8
-2.5	1.22234027344348E-8
-2.40000009536743	1.03034416554237E-8
-2.29999995231628	9.24405085811486E-9
-2.20000004768372	7.38766114949385E-9
-2.09999990463257	6.08545658309367E-9
-2	5.4147655248471E-9
-1.89999997615814	4.18251744349618E-9
-1.79999995231628	3.0284119656443E-9
-1.70000004768372	2.38126074414424E-9
-1.60000002384186	1.85892534698695E-9
-1.5	1.44148282199552E-9
-1.39999997615814	1.10126385788334E-9
-1.29999995231628	8.13641154451261E-10
-1.20000004768372	6.21762474839471E-10
-1.10000002384186	4.1258285676804E-10
-1	2.14217282801243E-10
-0.899999976158142	1.43621572967767E-10
