GateV	GateI
0	4.51933277042724E-14
0.0500000007450581	1.06649130648148E-14
0.100000001490116	3.27712710483999E-13
0.150000005960464	3.50369473017809E-13
0.200000002980232	3.5689189776221E-13
0.25	3.5894646087907E-13
0.300000011920929	3.60351044793525E-13
0.349999994039536	3.60470198612281E-13
0.400000005960464	3.63801924783275E-13
0.449999988079071	3.63960353825729E-13
0.5	3.63818540181568E-13
0.550000011920929	3.65190055929762E-13
0.600000023841858	3.66065766024479E-13
0.649999976158142	3.65419527319569E-13
0.699999988079071	3.66617516510057E-13
0.75	3.69824125750345E-13
0.800000011920929	3.69438746088135E-13
0.850000023841858	3.70698074016532E-13
0.899999976158142	3.72046252312963E-13
0.949999988079071	3.73270858666785E-13
1	3.73728879874552E-13
1.04999995231628	3.73602299270914E-13
1.10000002384186	3.74544362538587E-13
1.14999997615814	3.78405775680948E-13
1.20000004768372	3.80990540765208E-13
1.25	3.84581553885752E-13
1.29999995231628	3.8493034172464E-13
1.35000002384186	3.84291475594503E-13
1.39999997615814	3.87569398232687E-13
1.45000004768372	3.92830679010053E-13
1.5	3.9704771046499E-13
1.54999995231628	3.9732906092875E-13
1.60000002384186	4.07107859793157E-13
1.64999997615814	4.12198785304171E-13
1.70000004768372	4.18516133207647E-13
1.75	4.25063874072776E-13
1.79999995231628	4.29281799994505E-13
1.85000002384186	4.34026593961953E-13
1.89999997615814	4.4039530594335E-13
1.95000004768372	4.48627002517729E-13
2	4.54590006046182E-13
2.04999995231628	4.70375583101756E-13
2.09999990463257	4.75383512936467E-13
2.15000009536743	4.90843693815024E-13
2.20000004768372	4.99899329830383E-13
2.25	5.1049854447871E-13
2.29999995231628	5.29188726259427E-13
2.34999990463257	5.40802483090658E-13
2.40000009536743	5.56097648398562E-13
2.45000004768372	5.76363338566227E-13
2.5	6.39201744919576E-13
2.54999995231628	6.68860962709655E-13
2.59999990463257	6.96880541554284E-13
2.65000009536743	7.24791320710905E-13
2.70000004768372	7.52694076771449E-13
2.75	7.84802724109607E-13
2.79999995231628	8.55694638410287E-13
2.84999990463257	8.8950694683218E-13
2.90000009536743	9.27458955989058E-13
2.95000004768372	9.28237413148902E-13
3	1.01747137191271E-12
3.04999995231628	1.07179391230228E-12
3.09999990463257	1.10694071096817E-12
3.15000009536743	1.16463956534307E-12
3.20000004768372	1.23524747288467E-12
3.25	1.30182789461614E-12
3.29999995231628	1.36249973976821E-12
3.34999990463257	1.42594887720532E-12
3.40000009536743	1.54357050145132E-12
3.45000004768372	1.63759533277491E-12
3.5	1.75010765428307E-12
3.54999995231628	1.92520023360732E-12
3.59999990463257	2.06095297078379E-12
3.65000009536743	2.21713055900685E-12
3.70000004768372	2.33837602059417E-12
3.75	2.50230413646746E-12
3.79999995231628	2.63910811607038E-12
3.84999990463257	3.35155232560058E-12
3.90000009536743	3.69789702331369E-12
3.95000004768372	4.04845731591386E-12
4	4.35100349846507E-12
4.05000019073486	4.62450217009192E-12
4.09999990463257	4.81634827506627E-12
4.15000009536743	5.0830663463064E-12
4.19999980926514	5.63476695858434E-12
4.25	5.76475629385231E-12
4.30000019073486	6.09803743958914E-12
4.34999990463257	6.83436120196834E-12
4.40000009536743	8.71622479053924E-12
4.44999980926514	1.79225662089166E-11
4.5	4.77992333214328E-11
4.55000019073486	1.77760479946887E-11
